Time Scale; Number of Packets; Total data (b); 
415.000000; 2798; 2114485; 
416.000000; 2674; 2012071; 
417.000000; 1861; 1388680; 
418.000000; 2694; 2025596; 
419.000000; 1843; 1395708; 
420.000000; 2115; 1585944; 
421.000000; 2106; 1575397; 
422.000000; 2467; 1841458; 
423.000000; 2468; 1842374; 
424.000000; 2252; 1684443; 
425.000000; 2693; 2023469; 
426.000000; 1805; 1362269; 
427.000000; 2444; 1825789; 
428.000000; 2943; 2204199; 
429.000000; 2824; 2133458; 
430.000000; 1904; 1431357; 
431.000000; 2195; 1656928; 
432.000000; 2802; 2099239; 
433.000000; 1953; 1463376; 
434.000000; 2975; 2235996; 
435.000000; 2362; 1763371; 
436.000000; 2060; 1538918; 
437.000000; 2615; 1969074; 
438.000000; 2292; 1703258; 
439.000000; 2485; 1851380; 
440.000000; 2598; 1953356; 
441.000000; 2482; 1856769; 
442.000000; 2774; 2089200; 
443.000000; 2095; 1574813; 
444.000000; 2903; 2178510; 
445.000000; 2756; 2079074; 
446.000000; 1852; 1394573; 
447.000000; 2523; 1887156; 
448.000000; 1956; 1461941; 
449.000000; 2919; 2175104; 
450.000000; 2958; 2223467; 
451.000000; 2085; 1566635; 
452.000000; 1854; 1388958; 
453.000000; 2900; 2171034; 
454.000000; 1846; 1382965; 
455.000000; 2575; 1915607; 
456.000000; 2890; 2174451; 
457.000000; 1847; 1385059; 
458.000000; 1993; 1502052; 
459.000000; 2647; 1984314; 
460.000000; 2967; 2221830; 
461.000000; 2409; 1804904; 
462.000000; 2718; 2041100; 
463.000000; 2984; 2241741; 
464.000000; 1888; 1407849; 
465.000000; 1834; 1369959; 
466.000000; 2720; 2034064; 
467.000000; 2992; 2232604; 
468.000000; 2212; 1658157; 
469.000000; 2231; 1664795; 
470.000000; 2267; 1701531; 
471.000000; 2330; 1743784; 
472.000000; 2313; 1735531; 
473.000000; 2068; 1545849; 
474.000000; 2468; 1843005; 
475.000000; 2661; 1996657; 
476.000000; 1958; 1465210; 
477.000000; 2567; 1908894; 
478.000000; 2218; 1656811; 
479.000000; 2232; 1670874; 
480.000000; 2045; 1524873; 
481.000000; 2260; 1692354; 
482.000000; 1892; 1420341; 
483.000000; 2613; 1961524; 
484.000000; 1964; 1472612; 
485.000000; 1814; 1360962; 
486.000000; 2904; 2177747; 
487.000000; 2988; 2222815; 
488.000000; 2431; 1811735; 
489.000000; 2678; 2010084; 
490.000000; 2885; 2171243; 
491.000000; 1844; 1400775; 
492.000000; 2773; 2075655; 
493.000000; 2587; 1936882; 
494.000000; 2234; 1678889; 
495.000000; 2510; 1875193; 
496.000000; 2259; 1701344; 
497.000000; 2508; 1882081; 
498.000000; 1802; 1349442; 
499.000000; 2193; 1642418; 
500.000000; 2439; 1831243; 
501.000000; 2989; 2244823; 
502.000000; 2186; 1631411; 
503.000000; 2046; 1542201; 
504.000000; 2756; 2066530; 
505.000000; 2817; 2117959; 
506.000000; 2924; 2183212; 
507.000000; 2861; 2142727; 
508.000000; 2292; 1709333; 
509.000000; 2767; 2078810; 
510.000000; 2726; 2039874; 
511.000000; 2656; 1993502; 
512.000000; 2311; 1747366; 
513.000000; 2709; 2042286; 
514.000000; 2000; 1513227; 
515.000000; 2914; 2193805; 
516.000000; 2889; 2182409; 
517.000000; 2380; 1779067; 
518.000000; 2478; 1855251; 
519.000000; 2601; 1952553; 
520.000000; 2231; 1677442; 
521.000000; 2336; 1748863; 
522.000000; 1999; 1492954; 
523.000000; 2722; 2042238; 
524.000000; 1989; 1485127; 
525.000000; 2955; 2219236; 
526.000000; 2949; 2201690; 
527.000000; 2752; 2069778; 
528.000000; 1868; 1406034; 
529.000000; 2553; 1901608; 
530.000000; 2483; 1867002; 
531.000000; 2724; 2040329; 
532.000000; 1991; 1500491; 
533.000000; 2961; 2218261; 
534.000000; 2809; 2091167; 
535.000000; 2027; 1542102; 
536.000000; 2512; 1890351; 
537.000000; 1850; 1377127; 
538.000000; 2607; 1954670; 
539.000000; 2107; 1577710; 
540.000000; 2528; 1874217; 
541.000000; 1881; 1414374; 
542.000000; 2182; 1641344; 
543.000000; 2151; 1615151; 
544.000000; 2636; 1986421; 
545.000000; 1805; 1351239; 
546.000000; 2371; 1776640; 
547.000000; 2542; 1904028; 
548.000000; 2348; 1758568; 
549.000000; 2747; 2051826; 
550.000000; 2704; 2022359; 
551.000000; 2512; 1879231; 
552.000000; 2353; 1758357; 
553.000000; 2698; 2012912; 
554.000000; 2965; 2221317; 
555.000000; 2039; 1524986; 
556.000000; 2784; 2090538; 
557.000000; 2357; 1763870; 
